Date,gdp
2011-03-31,2102862.81754535
2011-06-30,2042870.16440946
2011-09-30,2225135.22797355
2012-12-31,2365461.39937826
2012-03-31,2205223.44055908
2012-06-30,2195945.87512093
2012-09-30,2344767.21300171
2013-12-31,2467081.86723805
2013-03-31,2347396.37073671
2013-06-30,2357078.8660974
2013-09-30,2497997.34269349
2014-12-31,2598897.56139174
2014-03-31,2535750.58742711
2014-06-30,2562241.58382514
2014-09-30,2645947.13517275
2015-12-31,2783733.23261791
2015-03-31,2728279.0
2015-06-30,2768087.0
2015-09-30,2836387.0
2016-12-31,3036738.0
2016-03-31,2965087.77736525
2016-06-30,3035755.82534701
2016-09-30,3079621.61312994
2017-12-31,3227728.31188777
2017-03-31,3146336.28272358
2017-06-30,3197195.48529783
2017-09-30,3284991.65558026
2018-12-31,3516058.35168949
2018-03-31,3382300.82625272
2018-06-30,3403644.19032984
2018-09-30,3489760.88919471
2019-12-31,3717210.0382428
2019-03-31,3554641.50946344
2019-06-30,3549945.45361298
2019-09-30,3603375.04768663
2020-12-31,3826678.64218072
2020-03-31,2732306.16248034
2020-06-30,3342656.4132057
2020-09-30,3667337.91770766
2021-12-31,3952568.44052676
2021-03-31,3350730.12579257
2021-06-30,3672438.13782882
2021-09-30,3870107.78086635
2022-12-31,4128570.20906893
2022-03-31,3802769.07124162
2022-06-30,3891250.7250852
2022-09-30,4057577.78318612
2023-12-31,4413315.7960119
2023-03-31,4170114.44353516
2023-06-30,4254805.79356224
2023-09-30,4443638.2426613
2024-12-31,4782032.46847968
2024-03-31,4441663.94615502
2024-06-30,4493586.55988378
2024-09-30,4726541.82982796
2025-12-31,5135163.10803179
