Date,IIP
2012-04-30,99.3
2012-05-31,105.0
2012-06-30,102.3
2012-07-31,101.5
2012-08-31,99.9
2012-09-30,99.0
2012-10-31,103.7
2012-11-30,98.3
2012-12-31,107.1
2013-01-31,107.2
2013-02-28,101.4
2013-03-31,115.2
2013-04-30,102.6
2013-05-31,106.0
2013-06-30,101.3
2013-07-31,104.7
2013-08-31,104.3
2013-09-30,105.7
2013-10-31,105.7
2013-11-30,101.9
2013-12-31,110.9
2014-01-31,112.3
2014-02-28,106.7
2014-03-31,118.5
2014-04-30,106.6
2014-05-31,111.0
2014-06-30,109.7
2014-07-31,110.4
2014-08-31,108.0
2014-09-30,110.2
2014-10-31,106.0
2014-11-30,109.4
2014-12-31,115.3
2015-01-31,114.3
2015-02-28,109.9
2015-03-31,121.3
2015-04-30,107.3
2015-05-31,113.0
2015-06-30,110.8
2015-07-31,111.8
2015-08-31,112.0
2015-09-30,112.6
2015-10-31,115.5
2015-11-30,110.3
2015-12-31,118.9
2016-01-31,118.9
2016-02-29,117.8
2016-03-31,127.6
2016-04-30,113.7
2016-05-31,121.3
2016-06-30,119.7
2016-07-31,116.8
2016-08-31,116.5
2016-09-30,118.2
2016-10-31,120.3
2016-11-30,115.9
2016-12-31,121.7
2017-01-31,123.1
2017-02-28,119.2
2017-03-31,133.2
2017-04-30,117.3
2017-05-31,124.8
2017-06-30,119.3
2017-07-31,118.0
2017-08-31,122.1
2017-09-30,123.1
2017-10-31,122.5
2017-11-30,125.8
2017-12-31,130.6
2018-01-31,132.3
2018-02-28,127.4
2018-03-31,140.3
2018-04-30,122.6
2018-05-31,129.6
2018-06-30,127.7
2018-07-31,125.7
2018-08-31,128.0
2018-09-30,128.8
2018-10-31,132.8
2018-11-30,126.1
2018-12-31,133.9
2019-01-31,134.4
2019-02-28,127.6
2019-03-31,144.1
2019-04-30,126.5
2019-05-31,135.4
2019-06-30,129.3
2019-07-31,131.8
2019-08-31,126.2
2019-09-30,122.9
2019-10-31,124.0
2019-11-30,128.8
2019-12-31,134.5
2020-01-31,137.4
2020-02-29,134.2
2020-03-31,117.2
2020-04-30,54.0
2020-05-31,90.2
2020-06-30,107.9
2020-07-31,117.9
2020-08-31,117.2
2020-09-30,124.1
2020-10-31,129.6
2020-11-30,126.7
2020-12-31,137.4
2021-01-31,136.6
2021-02-28,129.9
2021-03-31,145.6
2021-04-30,126.1
2021-05-31,115.1
2021-06-30,122.8
2021-07-31,131.5
2021-08-31,132.4
2021-09-30,129.5
2021-10-31,135.0
2021-11-30,128.0
2021-12-31,138.8
2022-01-31,139.3
2022-02-28,131.4
2022-03-31,148.8
2022-04-30,134.5
2022-05-31,137.8
2022-06-30,138.3
2022-07-31,134.4
2022-08-31,131.5
2022-09-30,133.8
2022-10-31,129.5
2022-11-30,137.7
2022-12-31,145.9
2023-01-31,147.4
2023-02-28,139.3
2023-03-31,151.7
2023-04-30,140.7
2023-05-31,145.6
2023-06-30,143.9
2023-07-31,142.7
2023-08-31,145.8
2023-09-30,142.3
2023-10-31,144.9
2023-11-30,141.1
2023-12-31,152.3
2024-01-31,153.6
2024-02-29,147.1
2024-03-31,160.0
2024-04-30,148.0
2024-05-31,154.7
2024-06-30,151.0
2024-07-31,149.8
2024-08-31,145.8
2024-09-30,146.9
2024-10-31,150.3
2024-11-30,148.1
2024-12-31,158.0
2025-01-31,161.6
2025-02-28,151.1
2025-03-31,166.3
2025-04-30,151.8
2025-05-31,157.6
2025-06-30,153.3
